"campaign_group_name","campaign_name","spend","frequency","impressions","reach","ctr","cpm","cpc","date_start","date_stop","cost_per_unique_action_type.action_type","cost_per_unique_action_type.value","unique_actions.action_type","unique_actions.value"
"[CARAL] Cierrapuertas","Trujillo",190.72,6.1842902066924,"635207",102713,1.8338903695961,0.30024858038403,0.016372220791484,"2016-02-12","2016-02-21","like",63.573333333333,"like",3
"[CARAL] Cierrapuertas","Trujillo",190.72,6.1842902066924,"635207",102713,1.8338903695961,0.30024858038403,0.016372220791484,"2016-02-12","2016-02-21","link_click",0.021484735834178,"link_click",8877
"[CARAL] Cierrapuertas","Trujillo",190.72,6.1842902066924,"635207",102713,1.8338903695961,0.30024858038403,0.016372220791484,"2016-02-12","2016-02-21","post_like",31.786666666667,"post_like",6
"[CARAL] Cierrapuertas","Trujillo",190.72,6.1842902066924,"635207",102713,1.8338903695961,0.30024858038403,0.016372220791484,"2016-02-12","2016-02-21","page_engagement",0.021462975467027,"page_engagement",8886
"[CARAL] Cierrapuertas","Trujillo",190.72,6.1842902066924,"635207",102713,1.8338903695961,0.30024858038403,0.016372220791484,"2016-02-12","2016-02-21","post_engagement",0.021470224023416,"post_engagement",8883
"[CARAL] Cierrapuertas","Santa Clara",190.64,2.5363046194796,"499302",196862,2.788292456269,0.3818130109633,0.013693434851314,"2016-02-12","2016-02-21","link_click",0.014875156054931,"link_click",12816
"[CARAL] Cierrapuertas","Santa Clara",190.64,2.5363046194796,"499302",196862,2.788292456269,0.3818130109633,0.013693434851314,"2016-02-12","2016-02-21","post_like",63.546666666667,"post_like",3
"[CARAL] Cierrapuertas","Santa Clara",190.64,2.5363046194796,"499302",196862,2.788292456269,0.3818130109633,0.013693434851314,"2016-02-12","2016-02-21","page_engagement",0.014871674857633,"page_engagement",12819
"[CARAL] Cierrapuertas","Santa Clara",190.64,2.5363046194796,"499302",196862,2.788292456269,0.3818130109633,0.013693434851314,"2016-02-12","2016-02-21","post_engagement",0.014871674857633,"post_engagement",12819
"[CARAL] Cierrapuertas","Magdalena",191.22,3.860767050354,"873070",226139,1.7579346444157,0.219020238927,0.012458952306489,"2016-02-12","2016-02-21","like",95.61,"like",2
